entidad,campo,problema,valor_legacy
oferta:24160,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Desarrollar las capacidades para el uso de la información, el análisis y la interpretación de las principales demandas en educación, innovación y tecnologías.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Promover la reflexión de y en las prácticas educativas, a propósito del impacto que conlleva la inclusión de las TIC en la educación, la ubicuidad de las tecnologías digitales y la cultura de la participación.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Favorecer la comprensión del proceso de diseño y desarrollo de las prácticas de enseñanza y de aprendizaje hacia el empleo asertivo de tecnologías en los procesos educativos.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Desarrollar capacidades para el diseño de trayectos formativos innovadores que integren nuevas habilidades desde educación infantil, y reconozcan la diversidad de situaciones que desafían los modelos pedagógicos e institucionales existentes.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Promover la investigación y generación de conocimiento sobre las tecnologías en la educación.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->"
oferta:24160,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24514
oferta:24161,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:heading -->
<h3 class=""wp-block-heading"">Objetivo estratégico</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->

Fomentar el fortalecimiento y la profesionalización del campo de intersección entre educación, sociedad y política, desde los diagnósticos con base en evidencias, la investigación y la producción de conocimientos.

<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading"">Objetivo general</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->

Formar profesionales que logren formular y analizar problemas del ámbito educativo, comprender sus distintas aristas y construir alternativas que contribuyan a su solución.

<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading"">Objetivos específicos</h3>
<!-- /wp:heading -->

<!-- wp:list -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list""><!-- wp:list-item -->
 	<li>Formar profesionales de alto nivel en Educación, Sociedad y Política con capacidad y autonomía para el diseño y desarrollo de políticas, programas y proyectos en las áreas de gestión y sistemas de enseñanza, que sean actores clave en la promoción y el efectivo ejercicio del derecho a la educación.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Desarrollar las capacidades para el uso de la información, el análisis y la interpretación de las principales demandas en educación.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Impulsar la construcción de perspectivas propias para la formulación de propuestas de mejora en las diferentes áreas del quehacer pedagógico.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Ampliar las capacidades para el diseño de trayectos formativos que reconozcan la diversidad de situaciones que desafíen los modelos pedagógicos e institucionales existentes.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Promover la investigación como práctica de producción de conocimientos para la estructuración de problemas y el diseño de soluciones.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- /wp:list -->"
oferta:24161,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24515
oferta:24162,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:list -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list""><!-- wp:list-item -->
 	<li>Contribuir al fortalecimiento del campo de los Estudios de Género en Uruguay y la región, la producción de conocimientos novedosos y la articulación de estos con la producción y perfeccionamiento de las políticas públicas y la participación ciudadana.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Formar profesionales de distintos niveles de inserción, con conocimientos y capacidades para el desarrollo de actividades de docencia, investigación, análisis y evaluación en el campo de los Estudios de Género en intersección con otros campos, así como con capacidades para diseñar, implementar, evaluar, tomar decisiones tendientes en la generación de políticas públicas integrales teniendo como marco los derechos humanos, así como crear procesos de incidencia institucionales y sociales en temas de género, violencia basada en género y cambio climático y desastres.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Consolidar líneas de formación que aborden desde una perspectiva interdisciplinaria la situación de las diferentes identidades sexo/genéricas en la sociedad, los problemas de la violencia basada en género, los problemas que vinculan género con cambio climático y los desastres, sobre la base de los conceptos de poder que se articulan en modo complejo en el sistema sexo/género sumando otros factores de desigualdad que configuran experiencias específicas y teniendo en cuenta los estándares de derechos humanos;</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Brindar herramientas teóricas y metodológicas que posibiliten el análisis de las situaciones de subordinación, sometimiento y violencia en la organización social basada en el género en todos los ámbitos de la vida social;</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Instalar capacidades para la adquisición de la integralidad y el horizonte de la transformación en las políticas públicas desde el análisis, el diseño, la planificación, la reformulación, la implementación y la evaluación de políticas, acciones y programas;</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Promover la difusión del conocimiento en el área de los Estudios de Género, la interseccionalidad en interacción con otros campos de estudios y su relación con los procesos de institucionalización de las políticas públicas desde una perspectiva de derechos humanos.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- /wp:list -->"
oferta:24162,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24516
oferta:24163,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivo general</strong></h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->

Fortalecer los conocimientos sobre las prácticas de análisis, producción y edición de textos orales, escritos, multimodales y multimediales para formar profesionales especializados, según sus roles y funciones, en los ámbitos en que se desempeñan.

<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivos específicos </strong></h3>
<!-- /wp:heading -->

<!-- wp:list -->
<ol class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ol class=""wp-block-list""><!-- wp:list-item -->
 	<li>Contribuir al análisis de prácticas de comunicación que se desarrollan en los diferentes ámbitos en que participan las personas inscriptas.</li>
</ol>
</li>
</ol>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ol class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ol class=""wp-block-list"">
 	<li>Identificar marcos teóricos y metodológicos para el análisis, la producción y la edición de diversos textos.</li>
</ol>
</li>
</ol>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ol class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ol class=""wp-block-list"">
 	<li>Elaborar  y editar  géneros discursivos (digitales y no digitales) de sus diferentes entornos académicos y profesionales.</li>
</ol>
</li>
</ol>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ol class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ol class=""wp-block-list"">
 	<li>Promover estrategias de apropiación del conocimiento de lo disciplinar, lo audiovisual y lo tecnológico.</li>
</ol>
</li>
</ol>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ol class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ol class=""wp-block-list"">
 	<li>Fomentar la interacción entre las personas inscriptas para promover las relaciones interpersonales, el desarrollo de la empatía y el trabajo colaborativo</li>
</ol>
</li>
</ol>
<!-- /wp:list-item -->

<!-- /wp:list -->"
oferta:24163,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24517
oferta:24164,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivo general</strong></h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->

Contribuir a la formación interdisciplinaria de nivel de posgrado en el campo de los estudios de cambio climático y gestión del riesgo de desastres desde la perspectiva de género, a efectos de generar capacidad y construir conocimiento al servicio de las políticas públicas en la materia.

<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivos específicos&nbsp;</strong></h3>
<!-- /wp:heading -->

<!-- wp:list -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list""><!-- wp:list-item -->
 	<li>Contribuir a crear en la formación de profesionales capaces de comprender, investigar y desarrollar acciones, planes y programas en el ámbito del cambio climático y gestión del riesgo de desastres desde una perspectiva de género</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Brindar herramientas de diagnóstico, investigación y desarrollo de acciones, planes, programas, proyectos y estrategias en el ámbito del cambio climático y la gestión del riesgo con perspectiva de género.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- /wp:list -->"
oferta:24164,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24518
