source_key,canonical_legacy_id,legacy_ids,new_id
seminario:23822,23822,23822,
seminario:23828,23828,23828,
seminario:23895,23895,23895,
seminario:23897,23897,23897,
seminario:23898,23898,23898,
seminario:23899,23899,23899,
seminario:23900,23900,23900,
seminario:23901,23901,23901,
seminario:23902,23902,23902|27254,
seminario:23903,23903,23903,
seminario:23904,23904,23904|27258,
seminario:23905,23905,23905,
seminario:23906,23906,23906,
seminario:23907,23907,23907,
seminario:23908,23908,23908,
seminario:23909,23909,23909,
seminario:23910,23910,23910,
seminario:23912,23912,23912,
seminario:23913,23913,23913,
seminario:23914,23914,23914,
seminario:23915,23915,23915,
seminario:23916,23916,23916,
seminario:23917,23917,23917,
seminario:23918,23918,23918,
seminario:23919,23919,23919,
seminario:23920,23920,23920,
seminario:23921,23921,23921,
seminario:23922,23922,23922,
seminario:23923,23923,23923,
seminario:23924,23924,23924,
seminario:23925,23925,23925,
seminario:23926,23926,23926,
seminario:23927,23927,23927,
seminario:24299,24299,24299|27242,
seminario:24432,24432,24432|27245,
seminario:25623,25623,25623|27256,
seminario:25624,25624,25624,
seminario:25625,25625,25625,
seminario:25716,25716,25716,
seminario:25717,25717,25717,
seminario:25892,25892,25892,
seminario:25893,25893,25893,
seminario:25894,25894,25894,
seminario:25895,25895,25895,
seminario:25896,25896,25896,
seminario:26284,26284,26284,
seminario:26285,26285,26285,
seminario:27212,27212,27212,
seminario:27240,27240,27240,
